GPST,Latitude,Longitude,Height
2024/02/14 04:21:22.00,27.681985377,85.319230002,1241.7801
2024/02/14 04:21:23.00,27.681973382,85.319203507,1255.289
2024/02/14 04:21:24.00,27.68195508,85.319202954,1244.1754
2024/02/14 04:21:25.00,27.681985748,85.319239146,1245.3506
2024/02/14 04:21:26.00,27.68198187,85.319221892,1250.31
2024/02/14 04:21:27.00,27.682011457,85.319234407,1257.9273
2024/02/14 04:21:28.00,27.681981072,85.319221697,1249.4668
2024/02/14 04:21:29.00,27.682049882,85.319261146,1268.8149
2024/02/14 04:21:30.00,27.681975661,85.31924854,1243.7738
2024/02/14 04:21:31.00,27.681984126,85.319220104,1250.3116
2024/02/14 04:21:32.00,27.682022022,85.319198849,1261.8198
2024/02/14 04:21:33.00,27.682020653,85.319196398,1260.6868
2024/02/14 04:21:34.00,27.682049048,85.319234677,1260.3307
2024/02/14 04:21:35.00,27.682018513,85.31919939,1259.6319
2024/02/14 04:21:36.00,27.682051924,85.319257709,1269.9599
2024/02/14 04:21:37.00,27.682005351,85.319222537,1252.8881
2024/02/14 04:21:38.00,27.681982115,85.319254143,1250.5168
2024/02/14 04:21:39.00,27.68201938,85.31921102,1263.3523
2024/02/14 04:21:40.00,27.681999748,85.319230603,1255.3207
2024/02/14 04:21:41.00,27.68205645,85.319248145,1267.5808
2024/02/14 04:21:42.00,27.682026054,85.319228553,1270.0642
2024/02/14 04:21:43.00,27.68205642,85.319251609,1268.1437
2024/02/14 04:21:44.00,27.682002613,85.31923727,1259.3418
2024/02/14 04:21:45.00,27.681948332,85.319193641,1239.3909
2024/02/14 04:21:46.00,27.682060117,85.319280086,1265.8816
2024/02/14 04:21:47.00,27.682066377,85.319214603,1268.1768
2024/02/14 04:21:48.00,27.681966281,85.31924328,1242.8223
2024/02/14 04:21:49.00,27.681953787,85.31922662,1232.2695
2024/02/14 04:21:50.00,27.682025502,85.319267062,1250.8763
2024/02/14 04:21:51.00,27.682013526,85.319215129,1249.16
2024/02/14 04:21:52.00,27.6820068,85.319213933,1248.3043
2024/02/14 04:21:53.00,27.682067523,85.319254771,1268.2727
2024/02/14 04:21:54.00,27.681997508,85.319219515,1250.2448
2024/02/14 04:21:55.00,27.682064344,85.31925235,1265.5914
2024/02/14 04:21:56.00,27.681973812,85.31924538,1242.9085
2024/02/14 04:21:57.00,27.681998026,85.319223912,1251.7096
2024/02/14 04:21:58.00,27.682055079,85.31925504,1264.9255
2024/02/14 04:21:59.00,27.682035815,85.31924664,1253.3295
2024/02/14 04:22:00.00,27.682025672,85.319230797,1270.0549
2024/02/14 04:22:01.00,27.682053811,85.31925421,1265.2269
2024/02/14 04:22:02.00,27.681990841,85.319261626,1253.5451
2024/02/14 04:22:03.00,27.682025479,85.319233165,1269.8481
2024/02/14 04:22:04.00,27.682036851,85.319259582,1259.2722
2024/02/14 04:22:05.00,27.682058677,85.319256733,1267.4165
2024/02/14 04:22:06.00,27.681956635,85.319210982,1248.4196
2024/02/14 04:22:07.00,27.682025728,85.319219737,1265.8234
2024/02/14 04:22:08.00,27.682017119,85.319203603,1259.6978
2024/02/14 04:22:09.00,27.682003674,85.319212765,1252.3652
2024/02/14 04:22:10.00,27.681973777,85.31920529,1256.1969
2024/02/14 04:22:11.00,27.682019837,85.319203409,1260.6668
2024/02/14 04:22:12.00,27.682021539,85.319257233,1253.982
2024/02/14 04:22:13.00,27.682023255,85.319238897,1251.0495
2024/02/14 04:22:14.00,27.681974303,85.319205232,1255.7307
2024/02/14 04:22:15.00,27.682049594,85.319235379,1261.5679
2024/02/14 04:22:16.00,27.682019557,85.319256608,1254.1809
2024/02/14 04:22:17.00,27.68198097,85.319217523,1262.7043
2024/02/14 04:22:18.00,27.682055602,85.319249285,1267.3274
2024/02/14 04:22:19.00,27.681994707,85.319238277,1270.4714
2024/02/14 04:22:20.00,27.682021168,85.3192068,1277.5602
2024/02/14 04:22:21.00,27.682032574,85.319227563,1271.291
2024/02/14 04:22:22.00,27.681985778,85.319190476,1254.061
2024/02/14 04:22:23.00,27.682057203,85.319242571,1282.4936
2024/02/14 04:22:24.00,27.682020305,85.319234921,1269.2633
2024/02/14 04:22:25.00,27.68202449,85.319260922,1256.3713
2024/02/14 04:22:26.00,27.681999672,85.319191416,1267.0431
2024/02/14 04:22:27.00,27.68201872,85.319234392,1273.2685
2024/02/14 04:22:28.00,27.68196781,85.319186147,1257.1674
2024/02/14 04:22:29.00,27.681991905,85.319218053,1267.1383
2024/02/14 04:22:30.00,27.682019935,85.31924543,1255.5141
2024/02/14 04:22:31.00,27.681996733,85.319228598,1245.7917
2024/02/14 04:22:32.00,27.681988619,85.319256394,1254.1083
2024/02/14 04:22:33.00,27.681963754,85.31920419,1248.6673
