GPST,x_x,y_x,z_x,ns,sdx(m),sdy(m),sdz(m)
2023/12/06 09:09:26.00,459370.7693,5634142.7988,2946851.0413,11.0,3.8344,10.2767,4.9005
2023/12/06 09:09:27.00,459363.2721,5634164.9263,2946846.9288,12.0,2.6351,7.7544,4.8659
2023/12/06 09:09:28.00,459374.2472,5634149.9874,2946845.428,11.0,3.8342,10.2768,4.9013
2023/12/06 09:09:29.00,459372.322,5634171.0104,2946848.3988,12.0,2.635,7.7548,4.8666
2023/12/06 09:09:30.00,459376.0872,5634160.4374,2946837.4305,12.0,2.6349,7.755,4.867
2023/12/06 09:09:31.00,459375.8339,5634165.0962,2946835.2108,12.0,2.6349,7.7551,4.8674
2023/12/06 09:09:32.00,459379.0435,5634167.8549,2946832.858,11.0,2.7659,7.7562,4.8725
2023/12/06 09:09:33.00,459382.6333,5634176.0936,2946833.967,11.0,2.7658,7.7564,4.8729
2023/12/06 09:09:34.00,459382.0065,5634172.3823,2946830.8973,11.0,2.7497,7.7748,5.1119
2023/12/06 09:09:35.00,459383.9822,5634175.6684,2946829.9151,11.0,2.7496,7.775,5.1124
2023/12/06 09:09:36.00,459385.3093,5634173.6807,2946825.3895,11.0,2.7496,7.7751,5.1129
2023/12/06 09:09:37.00,459390.2963,5634173.4279,2946822.0559,11.0,2.7495,7.7753,5.1134
2023/12/06 09:09:38.00,459390.2641,5634179.8992,2946819.6024,11.0,2.7495,7.7755,5.1139
2023/12/06 09:09:39.00,459387.855,5634177.5126,2946813.0538,11.0,2.7494,7.7757,5.1144
2023/12/06 09:09:40.00,459384.181,5634178.3329,2946804.9691,11.0,2.7493,7.7759,5.1149
2023/12/06 09:09:41.00,459381.54,5634178.9636,2946799.7609,11.0,2.5122,6.1642,4.0655
2023/12/06 09:09:42.00,459383.8165,5634177.8931,2946797.8044,11.0,2.5121,6.1643,4.0658
2023/12/06 09:09:43.00,459383.5338,5634179.116,2946795.5565,11.0,2.512,6.1644,4.066
2023/12/06 09:09:44.00,459385.7262,5634176.7834,2946797.8582,12.0,2.6339,7.7573,4.8726
2023/12/06 09:09:45.00,459385.9507,5634183.2357,2946802.9337,12.0,2.6338,7.7575,4.873
2023/12/06 09:09:46.00,459387.4484,5634182.2713,2946802.1505,13.0,2.3228,6.0409,3.8656
2023/12/06 09:09:47.00,459386.1614,5634179.8651,2946799.3307,13.0,2.3228,6.041,3.8659
2023/12/06 09:09:48.00,459386.7913,5634179.492,2946798.5169,13.0,2.3227,6.0411,3.8661
2023/12/06 09:09:49.00,459388.4576,5634178.069,2946798.7368,12.0,2.6335,7.7581,4.8745
2023/12/06 09:09:50.00,459389.4216,5634176.3685,2946798.2879,12.0,2.6335,7.7583,4.8749
2023/12/06 09:09:51.00,459392.2087,5634175.2493,2946798.0339,12.0,2.6334,7.7585,4.8753
2023/12/06 09:09:52.00,459395.5237,5634175.1038,2946799.6346,12.0,2.6333,7.7586,4.8757
2023/12/06 09:09:53.00,459397.5283,5634170.5802,2946798.2594,12.0,2.6332,7.7588,4.8761
2023/12/06 09:09:54.00,459400.877,5634170.3189,2946799.5002,13.0,2.3224,6.0415,3.8676
2023/12/06 09:09:55.00,459403.6115,5634169.6348,2946798.7296,13.0,2.3223,6.0416,3.8679
2023/12/06 09:09:56.00,459406.5519,5634169.3536,2946799.1001,13.0,2.3223,6.0417,3.8682
2023/12/06 09:09:57.00,459409.342,5634168.2088,2946799.5182,13.0,2.3222,6.0418,3.8684
2023/12/06 09:09:58.00,459411.8433,5634167.4236,2946799.6108,13.0,2.3222,6.0418,3.8687
2023/12/06 09:09:59.00,459414.3922,5634167.2276,2946799.6792,13.0,2.3221,6.0419,3.8689
2023/12/06 09:10:00.00,459416.6918,5634166.9918,2946799.5312,13.0,2.3221,6.042,3.8692
2023/12/06 09:10:01.00,459418.7022,5634166.8777,2946799.7063,13.0,2.322,6.0421,3.8694
2023/12/06 09:10:02.00,459420.5754,5634166.6922,2946799.8233,13.0,2.322,6.0421,3.8697
2023/12/06 09:10:03.00,459422.246,5634166.3654,2946799.933,13.0,2.3219,6.0422,3.8699
2023/12/06 09:10:04.00,459423.4875,5634165.532,2946800.6288,13.0,2.3219,6.0423,3.8702
2023/12/06 09:10:05.00,459424.8774,5634165.8878,2946800.5835,13.0,2.3218,6.0424,3.8705
2023/12/06 09:10:06.00,459426.2796,5634165.9692,2946800.5874,13.0,2.3218,6.0424,3.8707
2023/12/06 09:10:07.00,459427.4766,5634165.6568,2946800.978,13.0,2.3217,6.0425,3.871
2023/12/06 09:10:08.00,459429.0672,5634166.1536,2946800.5807,13.0,2.3217,6.0426,3.8712
2023/12/06 09:10:09.00,459430.2054,5634165.4842,2946800.8618,13.0,2.3216,6.0427,3.8715
2023/12/06 09:10:10.00,459431.0644,5634165.5489,2946800.7969,13.0,2.3216,6.0427,3.8717
2023/12/06 09:10:11.00,459431.685,5634165.5721,2946800.7427,13.0,2.3215,6.0428,3.872
2023/12/06 09:10:12.00,459431.9729,5634165.7115,2946800.8144,13.0,2.3215,6.0429,3.8722
2023/12/06 09:10:13.00,459432.1631,5634165.5839,2946800.9534,13.0,2.3214,6.043,3.8725
2023/12/06 09:10:14.00,459432.2977,5634165.3187,2946800.8414,13.0,2.3214,6.043,3.8727
2023/12/06 09:10:15.00,459432.3584,5634165.1861,2946800.9144,13.0,2.3213,6.0431,3.873
2023/12/06 09:10:16.00,459432.4859,5634164.9615,2946800.8735,13.0,2.3212,6.0432,3.8733
2023/12/06 09:10:17.00,459432.5667,5634164.9725,2946800.7253,13.0,2.3212,6.0433,3.8735
2023/12/06 09:10:18.00,459432.6757,5634164.9263,2946800.6749,13.0,2.3211,6.0433,3.8738
2023/12/06 09:10:19.00,459432.6774,5634164.7859,2946800.475,13.0,2.3211,6.0434,3.874
2023/12/06 09:10:20.00,459432.7603,5634164.4933,2946800.442,13.0,2.321,6.0435,3.8743
2023/12/06 09:10:21.00,459432.8247,5634164.4173,2946800.3545,13.0,2.321,6.0435,3.8745
2023/12/06 09:10:22.00,459432.9279,5634164.3339,2946800.25,13.0,2.3209,6.0436,3.8748
2023/12/06 09:10:23.00,459432.8709,5634164.3079,2946800.1514,13.0,2.3209,6.0437,3.875
2023/12/06 09:10:24.00,459432.9688,5634164.2429,2946800.1464,13.0,2.3208,6.0438,3.8753
2023/12/06 09:10:25.00,459432.9162,5634164.431,2946800.2235,13.0,2.3208,6.0438,3.8756
2023/12/06 09:10:26.00,459432.9185,5634164.3465,2946800.1982,13.0,2.3207,6.0439,3.8758
2023/12/06 09:10:27.00,459432.9117,5634164.3399,2946800.2213,13.0,2.3207,6.044,3.8761
2023/12/06 09:10:28.00,459432.8966,5634164.4047,2946800.2482,13.0,2.3206,6.0441,3.8763
2023/12/06 09:10:29.00,459432.917,5634164.6051,2946800.4235,13.0,2.3206,6.0441,3.8766
2023/12/06 09:10:30.00,459432.9555,5634164.5285,2946800.5306,13.0,2.3205,6.0442,3.8768
2023/12/06 09:10:31.00,459432.928,5634164.6462,2946800.4446,13.0,2.3205,6.0443,3.8771
2023/12/06 09:10:32.00,459433.0113,5634164.5033,2946800.4168,13.0,2.3204,6.0443,3.8773
2023/12/06 09:10:33.00,459432.9511,5634164.5529,2946800.3963,13.0,2.3204,6.0444,3.8776
2023/12/06 09:10:34.00,459433.1141,5634164.1754,2946800.3493,13.0,2.3203,6.0445,3.8778
2023/12/06 09:10:35.00,459433.0348,5634164.1654,2946800.3602,13.0,2.3203,6.0445,3.8781
2023/12/06 09:10:36.00,459433.0688,5634164.0081,2946800.4215,13.0,2.3202,6.0446,3.8784
2023/12/06 09:10:37.00,459433.0132,5634164.0607,2946800.3592,13.0,2.3202,6.0447,3.8786
2023/12/06 09:10:38.00,459433.0489,5634164.071,2946800.3907,13.0,2.3201,6.0448,3.8789
